zip,eiaid,utility_name,state,service_type,ownership,comm_rate,ind_rate,res_rate
56271,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.0690271524082,0.0815174879875,0.111558131606
56278,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.0690271524082,0.0815174879875,0.111558131606
56227,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.0690271524082,0.0815174879875,0.111558131606
29821,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.121681594448,0.0802164094126,0.132237740913
29824,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.121681594448,0.0802164094126,0.132237740913
29137,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.121681594448,0.0802164094126,0.132237740913
29847,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.121681594448,0.0802164094126,0.132237740913
29856,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.121681594448,0.0802164094126,0.132237740913
29105,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.121681594448,0.0802164094126,0.132237740913
29803,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.121681594448,0.0802164094126,0.132237740913
29805,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.121681594448,0.0802164094126,0.132237740913
29809,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.121681594448,0.0802164094126,0.132237740913
29804,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.121681594448,0.0802164094126,0.132237740913
29831,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.121681594448,0.0802164094126,0.132237740913
29838,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.121681594448,0.0802164094126,0.132237740913
29129,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.121681594448,0.0802164094126,0.132237740913
29039,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.121681594448,0.0802164094126,0.132237740913
29146,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.121681594448,0.0802164094126,0.132237740913
29828,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.121681594448,0.0802164094126,0.132237740913
29164,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.121681594448,0.0802164094126,0.132237740913
99754,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.533535730967,0,0.61036686237
99753,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.533535730967,0,0.61036686237
99750,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.533535730967,0,0.61036686237
99785,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.533535730967,0,0.61036686237
99590,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.533535730967,0,0.61036686237
99620,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.533535730967,0,0.61036686237
99783,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.533535730967,0,0.61036686237
99761,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.533535730967,0,0.61036686237
99763,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.533535730967,0,0.61036686237
99765,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.533535730967,0,0.61036686237
99769,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.533535730967,0,0.61036686237
